date,canal,spend
2024-03-16,meta,750.47
2024-03-16,linkedin,480.81
2024-03-17,google,427.22
2024-03-17,meta,356.36
2024-03-17,linkedin,384.87
2024-03-18,google,526.34
2024-03-18,meta,417.57
2024-03-18,linkedin,609.57
2024-03-19,google,491.24
2024-03-19,meta,237.24
2024-03-19,linkedin,467.38
2024-03-20,google,453.05
2024-03-20,meta,733.39
2024-03-20,linkedin,1133.88
2024-03-21,google,445.35
2024-03-21,meta,616.5
2024-03-21,linkedin,1065.56
2024-03-22,google,604.45
2024-03-22,meta,653.33
2024-03-22,linkedin,1178.28
2024-03-23,google,356.79
2024-03-23,meta,242.25
2024-03-23,linkedin,876.02
2024-03-24,google,606.11
2024-03-24,meta,377.96
2024-03-24,linkedin,1124.93
2024-03-25,google,849.0
2024-03-25,meta,358.64
2024-03-25,linkedin,996.77
2024-03-26,google,836.45
2024-03-26,meta,395.2
2024-03-26,linkedin,389.23
2024-03-27,google,852.3
2024-03-27,meta,258.07
2024-03-27,linkedin,730.75
2024-03-28,google,379.94
2024-03-28,meta,756.48
2024-03-28,linkedin,396.41
2024-03-29,google,324.17
2024-03-29,meta,621.04
2024-03-29,linkedin,485.0
2024-03-30,google,335.3
2024-03-30,meta,300.92
2024-03-30,linkedin,836.31
2024-03-31,google,400.29
2024-03-31,meta,426.34
2024-03-31,linkedin,1064.76
